index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
52,CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,200.0,active
53,CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,210.0,active
54,CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,1410.0,intermediate
58,CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,833000.0,inactive
59,CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,47000.0,inactive
60,CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,1200000.0,inactive
61,CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.5,active
64,CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,8400.0,intermediate
65,CHEMBL77197,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,1100000.0,inactive
66,CHEMBL305695,N#CC(C#N)=Cc1ccc(O)cc1,560000.0,inactive
67,CHEMBL68258,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,20000.0,inactive
68,CHEMBL76587,N#CC(C#N)Cc1ccc(O)cc1,6500000.0,inactive
69,CHEMBL77456,COc1ccc(C=C(C#N)C#N)cc1,1250000.0,inactive
70,CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,13.0,active
73,CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,800000.0,inactive
74,CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,60000.0,inactive
75,CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,37000.0,inactive
76,CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,833000.0,inactive
77,CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,29.0,active
80,CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,325000.0,inactive
81,CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,6000.0,intermediate
82,CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,200.0,active
83,CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0,active
85,CHEMBL311564,COc1ccc(C(O)=C(C#N)C#N)cc1,450000.0,inactive
86,CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,75000.0,inactive
